Input	Generic Wind Power Curve	Generic Onshore Wind Power Curve	Generic Offshore Wind Power Curve	Siemes SWT 36 120	Siemes SWT 60 154	LWST Offshore Wind Power Curve	HWST Offshore Wind Power Curve	NWST Wind Power Curve	HWST Wind Power Curve	LWST Wind Power Curve	NWST Offshore Wind Power Curve	Nordsee One Power Curve	NWST Wind Power Curve PL
24.5	100	100	100	100	80.13602721	0	100	100	100	0	0	50	50
24.6	100	100	100	100	80.13602721	0	100	100	100	0	0	40	40
24.7	100	100	100	100	80.13602721	0	100	100	100	0	0	30	30
24.8	100	100	100	100	80.13602721	0	100	100	100	0	0	20	20
24.9	100	100	100	100	80.13602721	0	100	100	100	0	0	10	10
25	100	0	0	0	75	0	100	100	100	0	0	0	0
25.1	100	0	0	0	75	0	100	100	100	0	0	0	0
25.2	100	0	0	0	75	0	100	100	100	0	0	0	0
25.3	100	0	0	0	75	0	100	100	100	0	0	0	0
25.4	100	0	0	0	75	0	100	100	100	0	0	0	0
25.5	100	0	0	0	75	0	100	100	100	0	0	0	0
25.6	100	0	0	0	75	0	100	100	100	0	0	0	0
25.7	100	0	0	0	75	0	100	100	100	0	0	0	0
25.8	100	0	0	0	75	0	100	100	100	0	0	0	0
25.9	100	0	0	0	75	0	100	100	100	0	0	0	0
26	0	0	0	0	75	0	100	100	100	0	0	0	0
26.1	0	0	0	0	75	0	100	100	100	0	0	0	0
26.2	0	0	0	0	75	0	100	100	100	0	0	0	0
26.3	0	0	0	0	75	0	100	100	100	0	0	0	0
26.4	0	0	0	0	75	0	100	0	100	0	0	0	0
26.5	0	0	0	0	75	0	100	0	100	0	0	0	0
26.6	0	0	0	0	0	0	100	0	100	0	0	0	0
26.7	0	0	0	0	0	0	100	0	100	0	0	0	0
26.8	0	0	0	0	0	0	100	0	100	0	0	0	0
26.9	0	0	0	0	0	0	100	0	100	0	0	0	0
27	0	0	0	0	0	0	100	0	100	0	0	0	0
27.1	0	0	0	0	0	0	100	0	100	0	0	0	0
27.2	0	0	0	0	0	0	100	0	100	0	0	0	0
27.3	0	0	0	0	0	0	100	0	100	0	0	0	0
27.4	0	0	0	0	0	0	100	0	100	0	0	0	0
27.5	0	0	0	0	0	0	100	0	100	0	0	0	0
27.6	0	0	0	0	0	0	100	0	100	0	0	0	0
27.7	0	0	0	0	0	0	100	0	100	0	0	0	0
27.8	0	0	0	0	0	0	100	0	100	0	0	0	0
27.9	0	0	0	0	0	0	100	0	100	0	0	0	0
28	0	0	0	0	0	0	100	0	100	0	0	0	0
28.1	0	0	0	0	0	0	100	0	100	0	0	0	0
28.2	0	0	0	0	0	0	100	0	100	0	0	0	0
28.3	0	0	0	0	0	0	100	0	100	0	0	0	0
28.4	0	0	0	0	0	0	100	0	100	0	0	0	0
28.5	0	0	0	0	0	0	100	0	100	0	0	0	0
28.6	0	0	0	0	0	0	100	0	100	0	0	0	0
28.7	0	0	0	0	0	0	100	0	100	0	0	0	0
28.8	0	0	0	0	0	0	100	0	100	0	0	0	0
28.9	0	0	0	0	0	0	100	0	100	0	0	0	0
29	0	0	0	0	0	0	100	0	100	0	0	0	0
29.1	0	0	0	0	0	0	100	0	100	0	0	0	0
29.2	0	0	0	0	0	0	100	0	100	0	0	0	0
29.3	0	0	0	0	0	0	100	0	100	0	0	0	0
29.4	0	0	0	0	0	0	100	0	100	0	0	0	0
29.5	0	0	0	0	0	0	100	0	100	0	0	0	0
