Date	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2015-02-13	50327.25	48485.25	47674.75	47996	48924.5	51739.25	58804.25	65256.25	67579.5	67996.5	68975.5	69475	68680	67264	65561.5	64549.75	62760.5	64833.75	66943.25	66404	62316.25	58851.25	57010	53085.25
2015-02-14	50119	47932	46368.5	46100.25	45627.75	45624.5	46494.25	49873.75	53511.5	56255.25	57914.25	58619	57970.25	55992.5	54950.75	54610.25	54934.25	56658.25	60244	59238.75	55087.75	52470.25	51971.25	48600.25
2015-02-15	47358.75	45111.25	43400	43142.75	43186.25	42632	41898.25	44263	47138.25	50763	52784.75	54702	53820.25	51300.5	50036.5	48413	48732.75	51598	56086.5	55954.5	53213.25	51898.75	52401	49630.25
2015-02-16	47522.25	45707.5	44602.25	45071.25	46442.25	50128.25	56896.5	61732	64417.25	65627.75	66744.5	68284	69948.75	68130.25	67650.75	66221.25	64583	66603.75	68026.75	68718.25	64569.25	61141.75	58737.25	53707.25
2015-02-17	49893.25	48116	47211	47798.25	48976	51579.5	58890	64676.75	67013.75	67623.5	68541.5	69363.75	68815.25	68112.75	65806	65792.5	64556	66065	68790	68509.75	64166.25	60663.5	56944.5	53323.25
2015-02-18	49778.25	48158	47029.25	47467	48855.25	51743	58644.5	63933.5	66396	66887.5	67918.25	68839	67938.25	67302.5	65954.75	64934.25	64042.25	65474.5	68178.75	67602.75	63564.75	59965.25	57390	53536
2015-02-19	50719.25	48829	47812.25	48042.5	49079	51577.75	58543.25	64996.5	67520.25	67830.5	68854.75	69488	68715.25	67892.25	66670.25	65478	64396.75	65682.25	68608.75	68148.5	63786.25	60301.75	57929.5	54120.5
2015-02-20	51717.25	49505	48655.75	48469.25	50067.75	52842.5	59604.5	65828.25	68034	68453	69347.5	70319	69492.5	67960	66173.25	64923.75	63724.5	64793.5	67635.5	66802.5	62955.25	59440.25	57499.5	53703.25
2015-02-21	51255	49067.75	47750.75	47136.25	46321.25	46314.75	46845.75	49521	53062	56220.75	58105.5	59089.25	57767	56287.75	54964.25	53102	53644.75	54782.25	58965.25	57953.75	53909.75	51416.75	51199.5	48043
2015-02-22	43907	42682.5	41378.25	41369	41611	41742.25	41476.75	43275.75	46202.25	49528.5	51991.75	53937.75	53034.25	51199.75	49472.75	48461.75	48320.5	51243	55437.25	55461.5	52884.5	51296.75	51327.75	48480
2015-02-23	46806.75	44946	44228.25	44520.75	45989.75	49593.5	57006.75	62974.25	65424.75	65700.75	67317	68477.5	67633.25	66757.75	65972.5	65208	64462.25	65141.5	68289	67612.75	63566.25	60215	57774	52209.25
2015-02-24	49779.5	48365.75	47698	47648	49549.25	52646	60352.5	63616.5	67464	68414	69540.5	70370.25	69948.75	69335.25	66081.25	66639.75	65362	66587.75	68782	67632.75	64115.5	60619	56855.75	53391.75
2015-02-25	50433.25	48596	47641.25	48162	48955.75	52138.25	58926.75	64771	67309.75	68162.25	68899.75	70249.25	69405.5	68897.5	67723	66471.25	65316	65936	68413.25	67790.5	63852.25	60579.5	58093	53675.75
2015-02-26	50768.25	49090.75	47837.75	47630.5	49130.75	52522.5	59070.5	65070	67635	68650	69425	70506.25	69425.25	67754.75	66648.25	66013.75	64904.5	65379.25	68321	68035.5	64007.25	60841	58463.25	54493.25
2015-02-27	49246.25	47489.25	46887.5	47231.75	48648	51708	58945.5	64493.25	66583	66779.5	67635.5	68297.75	67682	65656.75	64358.75	62867.25	61879	62791	66142	65567	62248.5	58193	57527.75	54408.25
2015-02-28	51984	50846	49595.5	46361.75	45530.25	46019.75	49101.5	52680.5	54576.5	57420	59691	60932.5	60172	57855.25	56062.75	55116.5	54696.5	54994.25	59215	58244.25	53953.25	51266.5	50656.25	50835
2015-03-01	45316.5	43390.75	42502	42328.25	42685.25	42614.25	42671.75	46484.75	49269.25	51898.5	53838.25	55699.5	54955	54107.25	52952	51145	50661.5	52238.75	56443.25	57006	54586.25	52673.25	52394.75	49412.75
2015-03-02	47549.75	45852.25	45339.75	45685.5	47193	51049.25	59605.25	66269.25	69075.5	70072	70106.25	71271.75	70709.25	69709	68582.5	67872	66569	66456.25	69413.75	68983	65083.5	61577	58927.5	53829
2015-03-03	49624.75	48017.75	47324.25	48117.75	51134.75	54913	61688.5	66723.25	68938.5	69328.75	70032.5	71024	70420	69381.5	67232	67660.25	66491	66606.25	69576.5	68323.5	64972	61450.25	58735.75	53710
2015-03-04	51230.25	49373	48357	48577.25	49684.75	52355	58793.75	64158.5	67129.25	68094	68772.5	70266.25	69387.5	66883.5	66475	65468.5	64381.75	64591.25	66861.5	67007.5	63095.5	59838.5	57714.75	53690.25
2015-03-05	49307.5	47567.75	46287.5	46437.75	47613.25	51488	57963.25	62332.5	63915.25	64769.75	66306.75	67855	66296.25	63013.75	62213.75	62683.5	61864.75	62362.75	66013	66191	62431.75	58973	57309.75	54274.5
2015-03-06	50612.25	48296.75	47356	48096.25	49538.75	52534.5	59567.25	65760.5	67441	68054	69268.25	69731.5	69383.5	67986.25	66553.5	65285.75	64167.5	64131.75	68081.25	68311	64247	60426.75	58134	53735.25
2015-03-07	49769	47401.25	46079	45931	46333	46899	48318	50987.5	54115.25	57003.75	58661.75	60104.5	59379.25	57130.25	55439	53987.75	53445.75	55073	58362.75	58019.5	54280	52517.75	54198	50777
2015-03-08	46394.5	44240.5	42983.5	42769	43297	43809.25	44379.75	46223.5	49163.5	51613	53375.25	55905.25	55978	54401	52671.25	51179.25	50602.5	51999	56416.5	56428.25	54704.5	54355.5	54361	51538.5
2015-03-09	48213	45647	46979.75	45372.5	45495	50176	59051.75	65261.5	67883.5	68563	68838	69774.5	69457.25	67946.75	66900	66864.5	65206.25	64540.75	67090	67678.25	63929	61185.5	59083	55520.75
2015-03-10	53441.5	51197.5	50069	50359.25	51162.5	53604	59784.25	65926	68613.75	69059.5	69678	70705.5	69844.75	68702	66536.25	66894.25	65581	65165	67695	67588.75	64247.25	60815.75	58119	53314.25
2015-03-11	49378	47223.75	46241.25	46763.25	48220.5	51645.25	58810.5	63560.5	65939	66618.25	67484.5	68239	67721.75	65022.5	65804.75	64824.25	63282	63865.25	66762.25	67817	63954.5	60465.5	57865.5	53443.25
2015-03-12	48764.5	47068.75	46114.5	46548.25	47851.5	50973	58002.5	63850.25	66000	66446.5	67841.25	68602.75	67255	65626.25	65399	64677.25	62885.25	63010.75	66248.5	66980	63104.25	59614	56938.75	52052.75
2015-03-13	47903	46003.75	45964.5	46121	47663	50646.25	57795	62948.25	65503.25	66158.5	67547.5	67959.75	66705	64202.5	62151	61849.5	61050	61220.75	64060	64907	60917.25	57497.25	54518.5	51231.25
2015-03-14	48694.25	46447.75	45447	45475	46063.25	47324.75	49377	52397.75	56113	59168.5	61355	62613.5	61363	59878.25	57716.25	55825.75	55859.25	56926	59042.25	59664.5	55678.5	53024.25	51730	46188.5
2015-03-15	45035.5	42960.75	42104.5	41950	42307.5	43169.5	44004.75	46421	49456.75	52323.75	55167	57420.75	56827.25	55219.25	53701	51038.25	51334.25	50827.75	54545.75	57597.5	54951.5	52906.75	52166.75	47838.25
2015-03-16	44866.75	43233.75	42537.25	42827.5	44318.75	48068.25	56015	61491.5	64157.5	64141.5	64109.75	65739	65304.5	64719.25	63772.75	63515.5	62062	62101	64195.25	66393	61775.5	57999.5	55858.75	50464.5
2015-03-17	48655	46442.75	45485.25	46035.25	47505	50898.75	58006.25	62662.25	65137	65742.25	66588	67697	66857.75	66042	64435.75	62980.25	61613	62024.25	65099.25	66135	62382	58796.5	55950.75	51520.75
2015-03-18	49017	46737.75	45575	45721.5	47187	50565.25	57802.5	63122.25	65605.25	66353.5	67699.75	69117	68356.75	67478.75	66073.5	65228.75	63355.75	63457.25	66359.75	67194.5	63232.25	59936.75	56851	52227.75
2015-03-19	48062	46226.75	45420.75	45852.75	47212.25	50588.25	57624.5	62385	64582.75	65215.25	66374.75	67889.5	67769.5	66925.75	65247.5	64160	62825.75	62769	64566	66239	62899.5	59292.75	56280.25	51604.25
2015-03-20	47324.5	45301.75	44583.5	44882.25	46506.5	49815	56969	61890.75	64520.25	64897.25	65919.75	66925.25	66057	64273.25	62459.75	61256	60394.25	60725	62577	63709.5	60177.25	57025.25	54344.5	50173
2015-03-21	46512	44614	43388.25	43365.5	43856.25	44578.5	45653.75	48687.75	52643.5	55824	57676	58596.25	57887.25	56099.75	54235.25	53112.25	52518.5	53266.75	55930.75	56424.75	52935.25	50460	49062	45765.5
2015-03-22	42811.75	40892.5	39902.25	39949	40461.75	40687.75	40233	42001.25	45427.5	48730	51356	53834.25	53238.5	51171.5	49268.25	48056.25	47924	49724.5	53293.5	54942.75	52555.25	51104.5	50684	47224.75
2015-03-23	44612.5	42839.75	42262.75	42556	44265.5	48264.5	55965.25	61516.75	64229.25	64951.25	66362.5	67541.75	66586	65930.75	64522.5	63193.5	61555	61446.25	63818.75	65411.25	61927	58863.25	55680.5	51080.5
2015-03-24	47688	45955	45156.25	45651.25	47060.5	50393.5	57253.5	62635	65378.75	66077.25	66858.75	68226.75	67350.25	66616.25	65248	64047.5	62442.25	62064.5	64733	66244	62731.5	59563	56280	51644
2015-03-25	47015.75	45069.5	44257.75	44778.25	46211.75	49709	56836.5	62136.5	64729.5	65547.5	66761	67880.25	67240	66692.75	65268	63815.75	62236.75	61991	63695.5	64900.75	61436	58364.75	55256.25	50537.5
2015-03-26	46891	45089.5	44288.25	44917.5	46419.25	49822	56850.25	62244.75	64859.75	65327	66508.5	67800	67099.75	66580.5	65113.25	64114.75	62634	62245.5	63869.75	65646.75	62147.75	58661.5	55568.25	50960.5
2015-03-27	47336.25	45530.75	44538.75	45105.25	46635.25	50010.25	56783.75	62403.5	65098.5	66075	67063	68006.75	67237.75	66225.75	64800.75	63175.25	61682	60862.25	63079.25	64385.5	60373.25	57298	54635	50774
2015-03-28	47037.25	44838.25	43617.5	43526.75	44049	44715.5	45578.75	48301.5	52226	55563.25	57364.75	58553.5	58031	56023.75	54007.75	52782.25	52590.25	53545.25	56204	57205	53785.25	51182.5	49710.25	46338.75
