Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario	1.2
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	33.90306333					30			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	33.71720317					31			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	33.53134301					32			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	33.34548285					33			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	33.15962269					34			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	32.97376253					35			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	32.78790238					36			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	32.60204222					37			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	32.41618206					38			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	32.2303219					39			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	32.04446174					40			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	31.85860159					41			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	31.67274143					42			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	31.48688127					43			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	31.30102111					44			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	31.11516095					45			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	30.92930079					46			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	30.74344063					47			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	30.55758047					48			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	30.37172031					49			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	30.18586016					50			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	30					51		1	
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	29.81413984					52			
